stock_code,recency,frequency,total_gross_profit,rfm_score,total_quantity,total_revenue,gross_profit_per_product,gross_profit_margin,quantity->1,2006-profit,2006-YoY,quantity->2,2007-profit,2007-YoY,quantity->3,2013-profit,2013-YoY,quantity->4,2014-profit,2014-YoY,quantity->5,2015-profit,2015-YoY,quantity->6,2016-profit,2016-YoY,quantity->7,2017-profit,2017-YoY,quantity->8,2018-profit,2018-YoY,quantity->9,2019-profit,2019-YoY,quantity->10,2020-profit,2020-YoY,quantity->11,2021-profit,2021-YoY,quantity->12,2022-profit,2022-YoY,quantity->13,2023-profit,2023-YoY,quantity->14,2024-profit,2024-YoY,quantity->15,2025-profit,2025-YoY,gross_profit_percentage,cumulative_profit,cumulative_profit_percentage,rfm_score_score,revenue_score,quantity_score,gross_profit_per_product_score,gross_profit_percentage_score,final_score
51,2025,8,4690,532,6643,10594,0.71,44.28%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,302,196,NULL,766,468,138.78%,619,410,-12.39%,758,323,-21.22%,1380,889,175.23%,1197,764,-14.06%,1095,1046,36.91%,526,594,494%,0.19,2214325,88.98%,59,90,45,70,75,339
9414453905509,2025,5,4756,522,372,7309,12.79,65.09%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,295,3582,NULL,37,486,-86.43%,30,514,5.76%,9,161,-68.68%,1,13,-87%,0.19,2204928,88.61%,61,96,95,13,75,340
9200129100044,2025,6,3122,522,6001,18761,0.52,16.64%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,1431,591,NULL,969,400,-32.32%,1072,443,10.75%,1572,747,68.62%,845,859,14.99%,112,82,-18%,0.13,2275155,91.43%,61,69,47,77,92,346
68,2025,5,3563,522,426,7925,8.36,44.95%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,170,258,NULL,94,132,-48.84%,26,70,-46.97%,0,0,-100%,0,0,NULL,117,2638,NULL,19,465,365%,0.14,2261804,90.89%,61,95,90,21,89,356
97,2019,7,4135,322,167,12485,24.76,33.12%,0,0,NULL,0,0,NULL,16,-80,NULL,41,795,-1093.75%,29,580,-27.04%,3,150,-74.14%,38,890,493.33%,23,1035,16.29%,17,765,-26.09%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.17,2231688,89.68%,93,85,100,9,79,366
93545037,2025,12,3002,542,5244,8108,0.57,37.01%,0,0,NULL,0,0,NULL,67,24,NULL,0,0,-100%,212,151,NULL,450,280,85.43%,648,357,27.5%,1043,551,54.34%,931,481,-12.7%,690,374,-22.25%,373,229,-38.77%,303,201,-12.23%,337,218,8.46%,89,67,-69.27%,101,69,-31%,0.12,2281253,91.67%,52,94,55,75,94,370
2002,2014,2,3881,212,2120,12484,1.83,31.09%,0,0,NULL,0,0,NULL,1407,2692,NULL,713,1189,-55.83%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.16,2239655,90%,100,86,73,43,82,384
79,2019,7,-726,320,5054,26902,-0.14,-2.69%,0,0,NULL,0,0,NULL,998,-4268,NULL,5,-22,-99.48%,216,224,-1118.18%,1012,835,272.77%,879,725,-13.17%,1049,921,27.03%,895,859,-6.73%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,2278048,91.55%,98,55,58,96,96,403
9421014520864,2025,13,-568,550,85,3411,-6.68,-16.65%,0,0,NULL,0,0,NULL,12,-504,NULL,27,-1081,114.48%,7,76,-107.03%,8,121,59.21%,1,28,-76.86%,6,182,550%,4,132,-27.47%,4,63,-52.27%,5,93,47.62%,2,56,-39.78%,2,60,7.14%,6,177,195%,1,29,-71%,0,2279361,91.6%,50,98,103,103,96,450
1039,2021,3,-408,410,551,2898,-0.74,-14.08%,0,0,NULL,0,0,NULL,142,-42,NULL,406,-378,800%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,3,12,NULL,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,2280384,91.64%,85,99,83,99,96,462
1069,2021,4,-178,410,279,1217,-0.64,-14.63%,0,0,NULL,0,0,NULL,179,-285,NULL,62,62,-121.75%,0,0,-100%,0,0,NULL,0,0,NULL,29,0,NULL,0,0,NULL,0,0,NULL,9,45,NULL,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,2280792,91.66%,85,100,97,97,96,475
503,2024,3,-2441,510,90,3698,-27.12,-66.01%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,66,-1862,NULL,22,-621,-66.65%,2,42,-106.76%,0,0,-100%,0,2274865,91.42%,79,97,102,105,96,479
22,2019,4,-742,310,242,145,-3.07,-512.51%,0,0,NULL,0,0,NULL,217,-720,NULL,17,-57,-92.08%,0,0,-100%,0,0,NULL,0,0,NULL,2,9,NULL,6,26,188.89%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,2277306,91.52%,99,103,98,100,96,496
1050,2016,4,-155,210,224,1189,-0.69,-13.04%,0,0,NULL,0,0,NULL,28,-27,NULL,173,-128,374.07%,10,0,-100%,13,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,2280970,91.66%,102,102,99,98,96,497
7,2015,3,-455,210,145,1202,-3.14,-37.89%,0,0,NULL,0,0,NULL,120,-532,NULL,24,70,-113.16%,1,7,-90%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,2279929,91.62%,102,101,101,101,96,501
387,2014,2,-128,210,22,48,-5.82,-266.67%,0,0,NULL,0,0,NULL,18,-108,NULL,4,-20,-81.48%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,2281125,91.67%,102,105,105,102,96,510
113,2015,3,-587,210,47,107,-12.5,-549.21%,0,0,NULL,0,0,NULL,39,-537,NULL,5,-69,-87.15%,3,19,-127.54%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,2278774,91.57%,102,104,104,104,96,510
