stock_code,recency,frequency,total_gross_profit,rfm_score,total_quantity,total_revenue,gross_profit_per_product,gross_profit_margin,quantity->1,2006-profit,2006-YoY,quantity->2,2007-profit,2007-YoY,quantity->3,2013-profit,2013-YoY,quantity->4,2014-profit,2014-YoY,quantity->5,2015-profit,2015-YoY,quantity->6,2016-profit,2016-YoY,quantity->7,2017-profit,2017-YoY,quantity->8,2018-profit,2018-YoY,quantity->9,2019-profit,2019-YoY,quantity->10,2020-profit,2020-YoY,quantity->11,2021-profit,2021-YoY,quantity->12,2022-profit,2022-YoY,quantity->13,2023-profit,2023-YoY,quantity->14,2024-profit,2024-YoY,quantity->15,2025-profit,2025-YoY,gross_profit_percentage,cumulative_profit,cumulative_profit_percentage,rfm_score_score,revenue_score,quantity_score,gross_profit_per_product_score,gross_profit_percentage_score,final_score
9300605030411,2025,14,8924,552,217339,21968,0.04,40.62%,0,0,NULL,21,1,NULL,2667,111,11000%,4177,164,47.75%,6745,285,73.78%,9116,377,32.28%,11421,464,23.08%,138033,5535,1092.89%,15384,629,-88.64%,7800,321,-48.97%,5167,199,-38.01%,7124,297,49.25%,5726,223,-24.92%,2844,166,-25.56%,1114,152,52%,0.36,2035866,81.81%,12,61,3,95,50,221
96,2019,8,21640,333,663,48160,32.64,44.93%,1,10,0%,0,0,-100%,29,0,NULL,42,1170,NULL,97,2890,147.01%,90,2880,-0.35%,128,3870,34.38%,221,8700,124.81%,55,2120,-75.63%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.87,1640360,65.92%,87,31,82,5,17,222
92,2019,8,21970,333,506,42210,43.42,52.05%,3,120,0%,0,0,-100%,81,2410,NULL,86,3020,25.31%,75,3000,-0.66%,62,2660,-11.33%,28,1400,-47.37%,109,5950,325%,62,3410,-42.69%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.88,1597029,64.18%,87,35,86,1,16,225
93573023,2025,14,6275,552,31162,32455,0.2,19.33%,0,0,NULL,8,1,NULL,1028,164,16300%,1466,234,42.68%,2397,384,64.1%,3054,489,27.34%,3829,613,25.36%,4837,774,26.26%,5035,806,4.13%,2858,463,-42.56%,1194,194,-58.1%,1888,498,156.7%,1465,549,10.24%,1452,676,23.13%,651,430,330%,0.25,2156349,86.65%,12,46,12,91,66,227
9421902692903,2024,5,15258,522,1434,25225,10.64,60.49%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,61,432,NULL,805,8613,1893.75%,136,1340,-84.44%,130,1406,4.93%,302,3467,146.59%,0,0,-100%,0.61,1689004,67.87%,61,57,76,16,21,231
5555001340303,2025,13,5786,552,26003,33340,0.22,17.35%,0,0,NULL,0,0,NULL,2301,420,NULL,15765,2843,576.9%,7684,1403,-50.65%,28,116,-91.73%,17,70,-39.66%,22,91,30%,34,140,53.85%,25,103,-26.43%,21,87,-15.53%,30,124,42.53%,33,154,24.19%,26,142,-7.79%,17,93,-7%,0.23,2174154,87.37%,12,45,16,90,68,231
110,2020,5,11946,322,12727,88820,0.94,13.45%,0,0,NULL,0,0,NULL,45,-226,NULL,0,0,-100%,0,0,NULL,0,0,NULL,1561,1495,NULL,4384,4209,181.54%,4355,4181,-0.67%,2382,2287,-45.3%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.48,1894980,76.15%,93,14,25,64,36,232
9421901704803,2025,13,6569,552,286,26994,22.97,24.34%,0,0,NULL,0,0,NULL,33,194,NULL,38,594,206.19%,30,616,3.7%,13,416,-32.47%,11,424,1.92%,16,718,69.34%,5,164,-77.16%,47,917,459.15%,32,859,-6.32%,17,372,-56.69%,23,643,72.85%,15,438,-31.88%,6,214,114%,0.26,2150074,86.4%,12,54,96,10,65,237
9421902692864,2025,6,12180,522,5496,27628,2.22,44.09%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,837,729,NULL,855,1288,76.68%,1081,2741,112.81%,1836,4643,69.39%,848,2618,-43.61%,39,161,61%,0.49,1883034,75.67%,61,53,50,39,35,238
9200129100150,2024,12,7908,542,3618,54270,2.19,14.57%,0,0,NULL,0,0,NULL,166,455,NULL,68,186,-59.12%,279,764,310.75%,475,989,29.45%,560,1156,16.89%,651,1343,16.18%,499,1030,-23.31%,361,745,-27.67%,186,384,-48.46%,143,295,-23.18%,163,377,27.8%,67,184,-51.19%,0,0,-100%,0.32,2085550,83.81%,52,28,63,40,55,238
91,2019,8,14700,332,490,44100,30,33.33%,2,40,0%,0,0,-100%,46,460,NULL,79,1120,143.48%,90,1770,58.04%,121,2940,66.1%,40,1290,-56.12%,97,6105,373.26%,15,975,-84.03%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.59,1718888,69.07%,90,34,87,6,23,240
302,2021,10,9991,442,36266,72532,0.28,13.77%,0,0,NULL,1,0,NULL,1057,296,NULL,466,130,-56.08%,1002,281,116.15%,4330,1192,324.2%,6637,1821,52.77%,7676,2116,16.2%,8338,2295,8.46%,5317,1463,-36.25%,1442,397,-72.86%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0.4,1960953,78.8%,80,20,10,88,42,240
94,2019,7,16185,322,471,39735,34.36,40.73%,0,0,NULL,0,0,NULL,58,1100,NULL,84,2110,91.82%,58,1680,-20.38%,72,1440,-14.29%,110,3220,123.61%,39,2885,-10.4%,50,3750,29.98%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.65,1673746,67.26%,93,39,88,2,20,242
9416590000190,2025,14,9122,552,20466,12749,0.45,71.55%,0,0,NULL,11,4,NULL,1505,453,11225%,2008,618,36.42%,2385,792,28.16%,2272,912,15.15%,2267,1179,29.28%,2411,1267,7.46%,2135,1136,-10.34%,1357,661,-41.81%,939,498,-24.66%,1158,582,16.87%,973,475,-18.38%,667,348,-26.74%,378,197,97%,0.37,2017837,81.09%,12,84,20,80,46,242
9416470239603,2025,14,7436,552,20848,18564,0.36,40.05%,0,0,NULL,3,0,NULL,815,163,NULL,1025,304,86.5%,1625,450,48.03%,2338,633,40.67%,2814,772,21.96%,3732,1008,30.57%,2127,967,-4.07%,1268,495,-48.81%,575,259,-47.68%,1667,770,197.3%,1512,772,0.26%,971,611,-20.85%,376,232,132%,0.3,2108175,84.72%,12,70,19,84,58,243
311,2025,13,8314,552,7355,14961,1.13,55.56%,0,0,NULL,0,0,NULL,35,103,NULL,24,79,-23.3%,11,8,-89.87%,269,217,2612.5%,356,401,84.79%,730,825,105.74%,1007,1138,37.94%,688,777,-31.72%,822,929,19.56%,1135,1280,37.78%,927,1030,-19.53%,836,945,-8.25%,515,582,482%,0.33,2069608,83.17%,12,80,42,57,54,245
2098,2025,13,9327,552,10478,9955,0.89,93.68%,0,0,NULL,0,0,NULL,1399,1043,NULL,100,64,-93.86%,943,604,843.75%,675,432,-28.48%,406,260,-39.81%,322,205,-21.15%,343,223,8.78%,198,222,-0.45%,1271,1309,489.64%,2903,2719,107.72%,1109,1252,-53.95%,601,739,-40.97%,208,255,155%,0.37,1999584,80.35%,12,91,32,66,46,247
9310797282161,2025,11,7344,542,4285,41681,1.71,17.62%,0,0,NULL,0,0,NULL,3,2,NULL,0,0,-100%,0,0,NULL,161,285,NULL,652,1436,403.86%,660,833,-41.99%,539,70,-91.6%,376,49,-30%,345,448,814.29%,493,1065,137.72%,471,1110,4.23%,407,1311,18.11%,178,735,635%,0.3,2115519,85.01%,52,36,62,46,58,254
9421014525303,2024,5,9563,522,373,29411,25.64,32.52%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,2,74,NULL,262,7096,9489.19%,12,345,-95.14%,51,1244,260.58%,46,804,-35.37%,0,0,-100%,0.38,1990257,79.98%,61,49,94,7,45,256
632565000036,2025,14,5431,552,5896,20706,0.92,26.23%,0,0,NULL,1,1,NULL,156,64,6300%,309,136,112.5%,500,417,206.62%,891,814,95.2%,939,871,7%,1249,1151,32.15%,698,664,-42.31%,488,393,-40.81%,200,265,-32.57%,228,321,21.13%,130,183,-42.99%,71,100,-45.36%,36,51,-49%,0.22,2185119,87.81%,12,65,48,65,70,260
2,2014,2,12995,212,5725,34350,2.27,37.83%,0,0,NULL,0,0,NULL,5375,12201,NULL,350,794,-93.49%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.52,1845311,74.16%,100,44,49,38,31,262
9421014522059,2025,13,4991,552,521,18358,9.58,27.18%,0,0,NULL,0,0,NULL,41,164,NULL,33,257,56.71%,40,319,24.12%,46,521,63.32%,22,260,-50.1%,31,260,0%,19,173,-33.46%,71,827,378.03%,33,238,-71.22%,44,469,97.06%,64,683,45.63%,59,628,-8.05%,18,192,92%,0.2,2195286,88.22%,12,72,85,20,73,262
6977928840145,2025,15,4707,552,8931,23044,0.53,20.42%,1,2,0%,1,1,-50%,890,489,48800%,1542,625,27.81%,1766,772,23.52%,1237,544,-29.53%,975,451,-17.1%,660,356,-21.06%,525,202,-43.26%,256,58,-71.29%,210,141,143.1%,402,510,261.7%,276,331,-35.1%,144,148,-55.29%,46,77,-23%,0.19,2209635,88.8%,12,60,40,76,75,263
9421030104369,2025,4,11825,512,3328,23594,3.55,50.12%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,789,2999,NULL,1001,3696,23.24%,1091,3626,-1.89%,447,1504,1404%,0.48,1906805,76.63%,78,59,66,26,36,265
90,2019,7,12790,322,389,32240,32.88,39.67%,0,0,NULL,0,0,NULL,133,1250,NULL,90,1110,-11.2%,31,1140,2.7%,46,2390,109.65%,15,1350,-43.51%,31,2325,72.22%,43,3225,38.71%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.51,1858101,74.67%,93,47,93,4,33,270
9421902692161,2025,6,9105,522,4415,21445,2.06,42.46%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,975,772,NULL,792,1858,140.67%,1084,3100,66.85%,968,2216,-28.52%,494,985,-55.55%,102,174,74%,0.37,2026942,81.45%,61,63,61,41,46,272
93,2019,7,10195,322,407,34615,25.05,29.45%,0,0,NULL,0,0,NULL,51,510,NULL,52,810,58.82%,55,1040,28.4%,39,900,-13.46%,71,2130,136.67%,85,2915,36.85%,54,1890,-35.16%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0.41,1950962,78.4%,93,43,91,8,41,276
9310797246439,2025,14,4284,552,3008,19799,1.42,21.64%,0,0,NULL,2,4,NULL,247,326,8050%,372,480,47.24%,465,517,7.71%,377,564,9.09%,293,492,-12.77%,386,279,-43.29%,257,213,-23.66%,115,95,-55.4%,83,117,23.16%,118,334,185.47%,110,329,-1.5%,142,414,25.84%,41,120,20%,0.17,2227553,89.52%,12,66,69,50,79,276
9420016999708,2025,10,9131,542,5236,15128,1.74,60.37%,0,0,NULL,0,0,NULL,4,7,NULL,0,0,-100%,0,0,NULL,0,0,NULL,1,3,NULL,115,163,5333.33%,1300,2029,1144.79%,906,1538,-24.2%,407,728,-52.67%,472,884,21.43%,700,1304,47.51%,786,1456,11.66%,545,1019,919%,0.37,2008715,80.72%,52,78,56,45,46,277
706799200040,2025,14,4886,552,3487,15196,1.4,32.15%,0,0,NULL,1,1,NULL,46,44,4300%,232,243,452.27%,373,388,59.67%,493,522,34.54%,505,740,41.76%,536,841,13.65%,520,772,-8.2%,251,351,-54.53%,122,164,-53.28%,191,331,101.83%,103,228,-31.12%,89,210,-7.89%,25,51,-49%,0.2,2200172,88.42%,12,77,65,52,73,279
224,2025,13,5176,552,2141,10700,2.42,48.38%,0,0,NULL,0,0,NULL,14,28,NULL,103,264,842.86%,59,162,-38.64%,262,571,252.47%,232,430,-24.69%,263,574,33.49%,151,406,-29.27%,126,344,-15.27%,6,16,-95.35%,287,634,3862.5%,409,1118,76.34%,175,481,-56.98%,54,148,48%,0.21,2190295,88.02%,12,88,72,36,72,280
1220000061545,2025,13,4336,552,5265,18857,0.82,23%,0,0,NULL,0,0,NULL,86,43,NULL,82,30,-30.23%,122,21,-30%,298,48,128.57%,544,120,150%,578,127,5.83%,711,426,235.43%,526,434,1.88%,423,520,19.82%,359,430,-17.31%,431,527,22.56%,683,966,83.3%,422,644,544%,0.17,2223269,89.34%,12,68,54,67,79,280
9416216001464,2025,13,3437,552,10456,21874,0.33,15.71%,0,0,NULL,0,0,NULL,446,240,NULL,615,206,-14.17%,605,38,-81.55%,633,85,123.68%,807,153,80%,1479,284,85.62%,1222,232,-18.31%,829,298,28.45%,776,181,-39.26%,1090,385,112.71%,687,412,7.01%,817,540,31.07%,450,383,283%,0.14,2268779,91.17%,12,62,33,85,89,281
9414043001145,2025,14,3254,552,18226,21121,0.18,15.4%,0,0,NULL,4,1,NULL,1164,23,2200%,2783,77,234.78%,2779,495,542.86%,2482,550,11.11%,2234,487,-11.45%,2231,509,4.52%,1812,401,-21.22%,908,192,-52.12%,405,67,-65.1%,755,140,108.96%,462,146,4.29%,119,82,-43.84%,88,84,-16%,0.13,2272033,91.3%,12,64,22,92,92,282
220,2021,9,8609,432,1198,26603,7.19,32.36%,0,0,NULL,0,0,NULL,54,540,NULL,76,760,40.74%,117,548,-27.89%,171,930,69.71%,203,1150,23.66%,297,1875,63.04%,210,2076,10.72%,64,640,-69.17%,6,90,-85.94%,0,0,-100%,0,0,NULL,0,0,NULL,0,0,NULL,0.35,2044475,82.16%,83,56,77,23,51,290
9300752250076,2025,6,8034,522,815,17488,9.86,45.94%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,55,482,NULL,65,696,44.4%,233,2897,316.24%,219,1990,-31.31%,208,1675,-15.83%,35,294,194%,0.32,2077642,83.49%,61,76,80,19,55,291
9416216283075,2025,14,3672,552,4927,18991,0.75,19.33%,0,0,NULL,1,1,NULL,169,161,16000%,362,211,31.06%,383,158,-25.12%,548,282,78.48%,580,448,58.87%,1038,799,78.35%,774,596,-25.41%,314,286,-52.01%,126,97,-66.08%,151,116,19.59%,197,171,47.41%,179,187,9.36%,105,159,59%,0.15,2258241,90.75%,12,67,59,69,84,291
706799200781,2025,14,3692,552,11276,13507,0.33,27.34%,0,0,NULL,5,2,NULL,566,139,6850%,798,246,76.98%,957,306,24.39%,1173,379,23.86%,1923,628,65.7%,1601,525,-16.4%,1261,409,-22.1%,773,250,-38.88%,293,79,-68.4%,553,176,122.78%,642,179,1.7%,477,198,10.61%,254,176,76%,0.15,2250892,90.45%,12,83,28,85,84,292
9416216057348,2025,14,3538,552,6953,17811,0.51,19.87%,0,0,NULL,2,1,NULL,284,167,16600%,639,447,167.66%,470,250,-44.07%,791,297,18.8%,1001,245,-17.51%,1331,633,158.37%,1094,511,-19.27%,500,231,-54.79%,209,121,-47.62%,237,143,18.18%,195,203,41.96%,121,188,-7.39%,79,101,1%,0.14,2265342,91.03%,12,74,44,78,89,297
