CODE,DESCRIPTION,DEPARTMENT,STANDARDCOST,LASTCOST,AVERAGECOST,PRICE1,PRICE4,SUPPLIER,DISCONTINUE
9421014525501,6Pack Gold355ml,14,13.2,14.1498,14.1714,24.0,30.0,0.0,False
9421014525502,5Gold355ml,14,11.0,11.7915,11.8095,20.0,42.0,0.0,False
9421022800743,Stone 500ml 9%,14,0.0,3.8667,3.8667,6.0,8.0,72.0,False
9421030101658,Cruiser Blue,14,0.0,3.1433,3.1289,5.0,7.0,1.0,False
9421030104369,Wild bull with cola 440ml 8%,14,3.7,3.5652,3.5347,6.0,8.0,18.0,False
9421901704803,Rum1125ml,14,73.5,70.9297,70.7433,110.0,130.0,13.0,False
9421901704827,Rum750ml,14,45.5,51.0297,50.8809,75.0,100.0,0.0,False
9421901704841,Rum375ml,14,37.0,27.8,27.8,45.0,60.0,13.0,False
9421902692000,Bitter375ml,14,2.2,2.3583,2.3583,4.0,5.0,0.0,False
9421902692017,Bitter750ml,14,3.9,4.4333,4.4389,6.0,8.0,0.0,False
9421902692123,Rum n Cola btl 355ml,14,2.7,2.925,2.925,5.0,7.0,13.0,False
9421902692161,Tribe White,14,2.7,2.775,2.775,4.0,7.0,0.0,False
9421902692437,Joske Can,14,4.0,2.8417,2.8419,7.0,8.0,0.0,False
9421902692741,Tribe Green,14,2.7,2.775,2.8308,4.0,7.0,0.0,False
9421902692758,Tribe Blue,14,2.7,2.775,2.7752,4.0,7.0,0.0,False
9421902692765,Tribe Red,14,2.7,2.7754,2.7754,4.0,7.0,0.0,False
9421902692864,Rum n Cola can,14,2.7,2.8125,2.8125,5.0,7.0,13.0,False
9421902692888,Can Bitter 355ml,14,2.16,2.3127,2.3127,4.0,5.0,13.0,False
9421902692901,Gold Can,14,0.0,2.3127,2.3153,4.0,5.0,13.0,False
9421902692902,6Pack Gold Can,14,13.2,14.1498,14.1714,25.0,35.0,0.0,False
9421902692903,Jug gold 3 cans,14,0.0,6.9381,6.9459,15.0,20.0,0.0,False
9421902692925,Tribe Black,14,2.7,2.8544,2.8467,4.0,7.0,0.0,False
9421907058009,Chiefs bh10,16,0.0,5.5652,5.5652,10.0,10.0,80.0,True
9421907058016,Captain bh10,16,7.4,6.0,6.0,10.0,10.0,135.0,True
9421907436265,joske brew ginger 8% 330ml,14,0.0,2.8833,2.8833,5.0,0.0,15.0,True
9421907436364,Rum n Cola can 330ml 10%,14,2.7,3.0709,3.131,5.5,7.0,13.0,False
9421907436517,TRIBE VODKA LEMON CAN 330ML,14,0.0,2.5583,2.5583,4.0,5.0,8.0,False
9421907436555,TRIBE VODKA RASPBERRY 330ML,14,0.0,2.5583,2.5583,4.0,5.0,8.0,False
9421907436579,TRIBE VODKA LIME 330ML 5.5%,14,2.5583,2.5583,2.5583,4.0,5.0,8.0,False
9421907788005,FORGED RUM&COLA 9% 500ML,14,0.0,4.0,4.0,7.0,10.0,21.0,False
9421907788029,forged bourbon/cola 500ml 9%,14,3.65,3.65,3.65,7.0,10.01,21.0,False
9421907788036,FORGED GIN&TONIC 500ML,14,0.0,4.0,4.0,7.0,10.0,21.0,False
9421907788043,FORGED VODKA LEMON 9% 500ML,14,0.0,4.0,4.0,7.0,10.0,21.0,False
9506000148717,Bulaladee soju&cola 550ml 11%,14,4.5,0.0,2.7927,5.0,7.0,0.0,True
9506000148731,Minanyoung 125ml,14,10.5,9.633,9.633,18.0,25.0,0.0,True
9556001297877,NESCAFE ORIGINAL 3IN1 COFFEE,18,0.0,0.5725,0.5963,1.0,0.0,14.0,False
9556023331597,supering70g,12,1.6,2.6087,2.6087,3.0,3.0,0.0,False
9556031075216,protex bathing soap,13,0.0,1.5908,1.5908,2.0,0.0,22.0,False
9557327000622,drypers l12,13,0.0,6.0471,6.0471,9.05,0.0,167.0,False
9557327001025,Diaper Small,13,1.95,1.2844,1.2844,2.5,0.0,0.0,False
3330086354047,laxmi mix bhuja 70g,12,0.0,0.7561,0.7561,1.5,0.0,0.0,False
79814382782881,GARBAGE BAGS 30*40 10PCS,13,3.211,3.2,3.242,6.0,0.0,0.0,False
